Date,MSCI World Sector Neutral Quality,S&P 500,MSCI Europe Small Cap Value Weighted,MSCI EMU,MSCI ACWI,MSCI USA Small Cap Value Weighted,MSCI Europe,MSCI Emerging Markets,MSCI World Momentum,S&P 500 Minimum Volatility,FTSE World Government Bond - Developed Markets,MSCI World
11/1983,,,,,,,22426.926965409402,,,,,28639.756228040675
12/1983,,,,,,,23167.323982864913,,,,,29738.385513379875
01/1984,,,,,,,24640.030757135624,,,,,30654.85931613871
02/1984,,,,,,,24556.14364968392,,,,,29221.455242028762
03/1984,,,,,,,24304.1853565208,,,,,29503.60589201104
04/1984,,,,,,,24401.07405848904,,,,,29913.11483894515
05/1984,,,,,,,23461.88293522704,,,,,28694.774730638914
06/1984,,,,,,,23416.017177572485,,,,,28934.331593727657
07/1984,,,,,,,22702.900331953922,,,,,28967.16865512922
08/1984,,,,,,,24902.881547441197,,,,,32229.765663017726
09/1984,,,,,,,25689.89693171678,,,,,33621.36624044726
10/1984,,,,,,,26218.066087228628,,,,,34594.62624265953
11/1984,,,,,,,25459.90016246004,,,,,33559.79206469479
12/1984,,,,,,,26655.48003141415,,,,,35609.46600893423
01/1985,,,,,,,28565.804283394995,,,,10000.0,38486.35872300831
02/1985,,,,,,,28397.7751727548,,,,10235.623791293367,39993.182541852475
03/1985,,,,,,,31750.48623767491,,,,9832.991277578245,41469.22422550362
04/1985,,,,,,,30405.977708846476,,,,10019.526779018826,38489.090820548394
05/1985,,,,,,,32216.97093902647,,,,10250.878162371237,40743.73145553946
06/1985,,,,,,,32030.921024844753,,,,10301.64384102301,40742.04246084016
07/1985,,,,,,,33341.9319047086,,,,9878.10316927813,39548.87472097862
08/1985,,,,,,,33850.10476610643,,,,10023.207167383669,38498.9529361696
09/1985,,,,,,,34966.13826801538,,,,10000.690689505467,39409.12599100308
10/1985,,,,,,,36463.30311388926,,,,9906.056360263647,38972.698766852656
11/1985,,,,,,,38558.1630517397,,,,9884.566049650708,40349.80151346891
12/1985,,,,,,,39293.26199421451,,,,9934.453565931248,41237.076489579886
01/1986,,,,,,,39219.80881425104,,,,9925.10952362158,40978.07138919157
02/1986,,,,,,,42157.14610079315,,,,9916.525239767929,42907.85004137819
03/1986,,,,,,,44354.18024686089,,,,10739.896199234323,45797.31497619826
04/1986,,,,,,,48736.43148138191,,,,10441.922879583219,47298.08927667742
05/1986,,,,,,,43659.961950041514,,,,10638.789122626988,46334.346426348624
06/1986,,,,,,,45751.07265231215,,,,10584.047045822315,48381.8912958277
07/1986,,,,,,,44035.352202574424,,,,10486.146741918934,47335.68457116948
08/1986,,,,,,,47492.401909488784,,,,10499.348778466276,49922.31551687076
09/1986,,,,,,,44140.88415290366,,,,10306.054386865058,47558.040732892434
10/1986,,,,,,,43922.99342187089,,,,10425.997552985753,46216.703726404754
11/1986,,,,,,,46755.888523099056,,,,10193.402928523503,48660.15998817887
12/1986,,,,,,,47257.390185902936,,,,10111.73382799858,48918.98842075373
01/1987,,,,,,,46389.80244001448,,,,9993.70485850732,51380.59265631078
02/1987,,,,,,,47204.61757395258,,,,10106.977937403795,52132.908088075965
03/1987,,,,,,,49462.36165581777,,,,10180.674507637053,55265.51344098957
04/1987,,,,,,,50735.31690030454,,,,10200.941311126022,57738.690406181646
05/1987,,,,,,,49848.980747144575,,,,10304.159924221494,57113.9937546486
06/1987,,,,,,,52196.0860707841,,,,10235.771796187393,58098.78560738437
07/1987,,,,,,,54738.321760303916,,,,10204.532896554445,60110.697558145344
08/1987,,,,,,,55629.85632732613,,,,10117.318545999922,64152.31021935194
09/1987,,,,,,,54540.5910637742,,,,9982.121008801358,61386.36991470059
10/1987,,,,,,,43857.440146959256,,,,10052.650274302403,50587.01719849432
11/1987,,,,,,,39397.992820401625,,,,9854.55065714173,46366.2679199422
12/1987,,,,10000.0,10000.0,,40428.05684667624,10000.0,,,9862.523187433399,46897.08825092531
01/1988,,,,9290.554734495561,10362.212139605463,,39180.82143012408,11100.47162367223,,,10484.893633816157,48537.91486111502
02/1988,,,,10720.490268126296,11282.110059171597,,42689.573916861336,11461.291863905322,,,10616.775861388483,52830.33748936401
03/1988,,,,10710.165246541219,11476.420852926867,,43274.38488595768,12521.24277606616,,,10553.932983383984,53678.8922827356
04/1988,,,,10801.616040378754,11556.986830015314,,43820.10731069918,13112.040735068915,,,10612.661325334491,54021.874909011836
05/1988,,,,10764.067748282234,11443.912967032968,,43428.87784123851,13639.02402930403,,,10830.24825354225,53453.569837154544
06/1988,,,,11273.424560208125,11860.614285714286,,44591.29439445851,14627.42142857143,,,11159.490073805107,55352.12630107665
07/1988,,,,11814.53658758815,12692.719556541022,,46946.56391953425,14975.041011086476,,,11411.453605399218,59223.211243419464
08/1988,,,,11745.431483102333,12268.07996735286,,45823.72259511506,14901.700172304345,,,11311.175356198444,57212.208770766185
09/1988,,,,12369.732050169516,12705.951237958045,,47966.87338126234,15753.073629242817,,,11570.055649840155,59193.67146169965
10/1988,,,,13286.76649260978,13206.140200210748,,51118.631903596775,15265.137565858797,,,11578.630066700873,61559.61652450747
11/1988,,,,12883.625079765901,13111.622940035424,,49702.09566678446,14598.68405161508,,,11377.649287603108,61167.29304238174
12/1988,,,,13141.670244033543,13247.062765957447,,50020.7233364705,15003.067021276594,,,11511.44571180487,61772.09104022391
01/1989,,,,13467.957838422972,14271.517099719102,,53891.89408235313,15401.73523525281,,,11972.569759640053,66530.23651002873
02/1989,,,,13481.800457000525,14363.729488091007,,53943.003841542406,16786.342961251332,,,11694.9421794214,66917.44002020075
03/1989,,,,13667.454824262708,14380.523217321286,,54698.55957846323,18582.710906325494,,,11949.994079804239,66917.03851528569
04/1989,,,,14284.73038696041,14824.704615384617,,56530.32122159427,22232.787692307695,,,12029.29510202471,68825.34672955025
05/1989,,,,14325.422121891175,15097.170723468143,,55940.88144218295,23500.9133339589,,,12403.342937206457,70004.8349235646
06/1989,,,,15271.287699578545,15156.392567825755,,59298.22305090406,21022.225105082158,,,12541.165094525792,70445.63352546078
07/1989,,,,15976.286983767382,16134.110132480582,,63389.825880458106,21428.557606212882,,,12480.06867427083,74970.4207865175
08/1989,,,,16177.090604537514,15999.00940805344,,63567.723885904525,22265.66281313787,,,12709.328255120969,74270.95275118499
09/1989,,,,17086.608788757276,16736.539218087608,,65653.79553808285,25457.01083372586,,,12417.62047598374,77521.37812350164
10/1989,,,,15645.243502322659,15588.741378059838,,59041.45726753303,24842.337388939257,,,12366.696925445001,72097.89512547171
11/1989,,,,16377.358439867721,15970.50144772118,,61427.22353022555,23345.781876675603,,,12172.0902237834,73885.3454107418
12/1989,,,,17654.78281574846,15816.957840616966,,65239.72096124534,25118.1357840617,,,11782.709081580299,73105.46300158802
01/1990,,,,16932.72890121556,14648.831209449345,,63159.84906449597,25185.059790384297,,,11466.767967794134,67633.18425111714
02/1990,,,,16269.71528917986,13848.459492735783,,60831.7210536139,25826.91475006156,,,11381.77369065004,63859.57851510989
03/1990,,,,17460.745794382474,13221.54347281383,,62772.42790185281,22724.356101227764,,,11229.743063503967,61036.850563076565
04/1990,,,,17129.24289083155,12888.758410290235,,60323.63148532231,24052.30334762533,,,11101.531357303547,59369.44607056525
05/1990,,,,17306.030384408394,14003.356298158813,,64171.30012148615,25603.59185659826,,,11542.112325847576,64532.83963037877
06/1990,,,,17795.583505644525,14003.615335619792,,66875.36243377338,26667.845173934347,,,11474.335951375459,64488.22911444809
07/1990,,,,17991.282238207743,13718.972344975053,,67591.63473844381,28143.650463292946,,,11279.877254607887,63093.46313607064
08/1990,,,,14983.373781195458,11882.573531193217,,58208.98708539693,23473.03587219867,,,11075.541697912146,54653.87627339092
09/1990,,,,12999.775431319895,10658.782997118156,,51439.34226958088,20509.82507204611,,,11211.775269368907,48953.840829208406
10/1990,,,,13858.556236219361,11298.613515901061,,54141.38822190316,19539.270185512367,,,11245.845995974267,51937.2877574192
11/1990,,,,13441.675795362775,10889.58058882956,,53602.00342675956,18153.440453167845,,,11425.642341240084,50056.308445569186
12/1990,,,,13284.540478928058,11256.109959112151,,53451.246871877294,19144.441340537385,,,11480.887634684454,51690.661555202656
01/1991,,,,13586.29453233617,11701.476679841899,,55387.299789437326,20743.686824769436,,,11608.694794174527,53696.03839975514
02/1991,,,,14641.965512159793,12589.058648240123,,59231.51620444296,23416.594515223493,,,12000.18747286577,57673.20665207074
03/1991,,,,14607.007493592017,13320.208712002508,,60148.14151046673,26535.33093074272,,,12925.218060543868,60905.157113833884
04/1991,,,,15320.573369632755,14148.504439676515,,62688.540229800245,28244.275177422016,,,13165.331333622766,64633.609098975234
05/1991,,,,16166.338301988979,14680.777571500252,,65402.944860796444,30867.908128449577,,,13399.297470103013,66962.41099132189
06/1991,,,,15286.897688431867,14299.854233171409,,62146.65199696361,30875.518511450384,,,13771.539645577614,65151.1265046928
07/1991,,,,15828.230995636995,15000.589941804916,,66539.43312540006,32518.570798228087,,,13576.952677901883,68295.93781870553
08/1991,,,,15753.51498057173,14640.99617737003,,66262.43839029582,32473.225382263,,,13869.518885424477,66560.46510562068
09/1991,,,,15805.15353333204,14599.65963984801,,66366.33300448058,30366.8823062944,,,13757.301574772075,66401.3431823617
10/1991,,,,15480.591519005542,14834.158307210031,,64885.52762876233,31564.328840125392,,,13973.822867742829,67368.85198393356
11/1991,,,,14903.8286195556,13664.87302469626,,60990.636935438175,29932.29190820297,,,13858.457986344081,62003.58083032292
12/1991,,,,15485.32907329975,14213.518422266647,,63668.19988866337,32238.122758726742,,,13689.288392469512,64385.65318801702
01/1992,,,,15698.640951044224,14099.681533101042,,64097.98282893333,36223.65491289199,,,14134.427911749613,63619.82764051358
02/1992,,10000.0,,16402.12835638655,14193.2896011396,,65768.57251824846,38668.3047008547,,,14314.99388246438,63883.08438209058
03/1992,,10067.64061302436,,16402.920221265707,13924.026879011944,,65162.33029332427,41045.35217355977,,,14220.112878399179,62480.97344079285
04/1992,,10269.780740213888,,16540.082162884046,13983.490232707949,,68137.77784439559,40392.63990659473,,,14291.68804515136,62760.410692048805
05/1992,,10122.864970710893,,17053.958643342754,14241.92158597267,,70640.33285484796,39478.46111681542,,,14345.857836365789,63989.90289721302
06/1992,,9686.87752644206,,16456.451213481065,13341.067346938777,,67340.0718968613,34544.526822157444,,,14033.577376958598,60057.13906322282
07/1992,,9602.987256402665,,14971.08647910484,12747.021001096091,,61845.265266398455,33258.98393861892,,,13987.616923866282,57327.541184017624
08/1992,,9169.25525665484,,14596.343803617263,12704.204986110124,,60089.228159039856,30908.605057340268,,,13748.776492876032,57222.52105247569
09/1992,,9491.321882692582,,14562.559520764018,12886.939833843466,,60460.603671434445,31731.27442063839,,,14481.33164936654,57988.96907079799
10/1992,,9920.291927926208,,14325.427140472473,13094.690390162443,,58581.550065621064,34819.05530590558,,,15305.235426451436,58745.71348590757
11/1992,,10930.112146862437,,15091.825419876706,14184.781931413783,,62388.92605191992,36700.489129731475,,,15599.113944034416,63694.45082345413
12/1992,,11057.097711728504,,15121.931717849158,14309.697963142578,,63778.89559549736,37754.88433559651,,,16020.681217192248,64147.674907806024
01/1993,,11367.305059451082,,15773.76951457632,14640.787490729295,,65133.74157914388,38678.38220024722,,,16220.803567904644,65599.61932989054
02/1993,,11809.294458555612,,16917.188674517667,15358.471875000003,,67520.35010337614,40306.83750000001,,,17023.90772388207,68806.64596649997
03/1993,,12117.829643162962,,17590.11416835393,16320.996452215244,,71343.29392575586,41844.765303004584,,,16876.248174606306,73133.88249791604
04/1993,,11422.597380087653,,17150.18544122406,16481.739034188733,,70435.81336003737,41350.5787324752,,,16846.370919998422,73900.18254079277
05/1993,,11757.08239924232,,17114.873633753537,16910.51564066738,,71369.11819576763,42607.485477110225,,,17058.165923353197,75770.08643780075
06/1993,,12135.607846862778,,17299.053559054653,17291.08837760108,,72378.8229585747,45151.18888512943,,,18247.158306034653,77307.02050765016
07/1993,,12599.43598874043,,18200.49303685254,18398.230914381445,,75707.55934628869,48309.35912177057,,,19256.80822512531,82225.0945110299
08/1993,,13177.410406297258,,20296.188859407237,19417.903100844072,,82980.2156554628,52788.82278098624,,,18990.06393811422,86630.80170810358
09/1993,,12556.483718152682,,19372.339149486826,18333.239570002563,,79433.5893204196,52544.05891988738,,,18757.12396889924,81629.71661846779
10/1993,,12966.668179471859,,20305.254799128852,19097.764143288732,,83714.13222506076,57930.634596460935,,,19132.227572325057,84843.95986388587
11/1993,,13187.993101955848,,20031.219419371657,18591.24064882113,,84106.84797888553,62118.89202269101,,,19351.76816513399,82173.80111756883
12/1993,,13341.53504260749,,21475.900291914448,19588.082572871444,,90381.36168465103,72354.82533888544,,,19595.16714686032,86136.48090141873
01/1994,,13982.159821309691,,22561.788629300987,21170.33744612069,,96272.0491605715,74670.19040948276,,,19759.620318111854,93042.30076492438
02/1994,,13550.3438992548,,22018.685077474056,20784.07331603901,,92505.45535715872,73059.72934967351,,,19310.20839089079,91464.51084324381
03/1994,,12691.652797918043,,21582.284625734228,19439.825282522997,,88028.86984524073,65074.81624178711,,,18916.969254450014,85691.7686082059
04/1994,,12891.672761664766,,22850.119058516,20026.383605693198,,91939.83730525758,63958.06541908276,,,18779.30496901764,88576.7385285946
05/1994,,12821.613417789253,,21320.49001587823,19711.498710453918,,86139.62645020639,64725.34054332875,,,18514.504479614796,86876.36177096752
06/1994,,12304.236876536705,,20496.377336151134,19297.24298037889,,83851.14258409844,61919.19834235454,10000.0,,18298.8120140506,85208.77017769286
07/1994,,12316.604873200962,,21169.32360105319,19116.460032786887,,85526.07745713418,63742.243131147545,9701.719379326521,,18394.008761889727,84133.74721971164
08/1994,,12836.310173553278,,21591.440580465747,19820.13485967504,,88340.10118156458,71735.80221565733,10027.978441187342,,18256.107668626908,86747.8287619667
09/1994,,12388.22994067919,,20386.81407253022,19147.316171456405,,83928.01296217271,71773.59483682417,9657.2647256692,,18058.461933141258,83544.41871571059
10/1994,,12424.473496473596,,20739.764486019652,19262.73741041567,,85910.35358738065,69131.97204968946,9800.378708566866,,17882.188104353318,84259.97079491656
11/1994,,12150.00857940921,10000.0,20224.229261271834,18700.186326167768,10000.0,83848.15113678505,66512.037837401,9332.182502528718,,18353.258081067215,81785.19905119868
12/1994,,12582.415013111777,10301.931555335646,20733.436889772565,19149.219099455717,10405.099244598383,86049.38416582726,62421.07793171697,9575.213960437166,,18232.97943718672,84246.46810984582
01/1995,,12644.893742612509,10034.27541966233,20216.345084866512,18376.155359883673,10164.392842717507,83630.82188141733,54639.949511269086,9060.974478344986,,18319.48336424991,81266.12337183833
02/1995,,12993.880712335686,10025.372090124642,20558.286345619927,18369.127133269412,10499.145223713645,84589.4931577885,52655.84582933845,9038.03463763445,,18451.24718790701,81528.84341969769
